Edition Year,Team 1,Team 2,Score 1,Score 2,Winner
1964,Poland,Hungary,56,53,Poland
1964,Italy,Mexico,85,80,Italy
1964,Japan,Puerto Rico,55,65,Puerto Rico
1964,Soviet Union,Canada,87,52,Soviet Union
1964,Italy,Puerto Rico,74,64,Italy
1964,Poland,Japan,81,57,Poland
1964,Soviet Union,Mexico,87,76,Soviet Union
1964,Canada,Hungary,59,70,Hungary
1964,Italy,Poland,58,61,Poland
1964,Puerto Rico,Mexico,73,55,Puerto Rico
1964,Soviet Union,Hungary,84,42,Soviet Union
1964,Canada,Japan,37,58,Japan
1964,Soviet Union,Puerto Rico,82,63,Soviet Union
1964,Hungary,Japan,41,58,Japan
1964,Canada,Italy,54,66,Italy
1964,Mexico,Poland,71,70,Mexico
1964,Mexico,Canada,78,68,Mexico
1964,Hungary,Italy,73,77,Italy
1964,Soviet Union,Japan,72,59,Soviet Union
1964,Puerto Rico,Poland,66,60,Puerto Rico
1964,Japan,Italy,72,68,Japan
1964,Hungary,Mexico,69,61,Hungary
1964,Soviet Union,Poland,74,65,Soviet Union
1964,Puerto Rico,Canada,88,69,Puerto Rico
1964,Puerto Rico,Hungary,74,59,Puerto Rico
1964,Poland,Canada,74,69,Poland
1964,Japan,Mexico,62,64,Mexico
1964,Soviet Union,Italy,76,67,Soviet Union
1964,South Korea,Finland,72,80,Finland
1964,Brazil,Peru,50,58,Peru
1964,SFR Yugoslavia,Uruguay,84,71,SFR Yugoslavia
1964,United States,Australia,78,45,United States
1964,South Korea,Uruguay,64,105,Uruguay
1964,Brazil,SFR Yugoslavia,68,64,Brazil
1964,United States,Finland,77,51,United States
1964,Australia,Peru,81,62,Australia
1964,United States,Peru,60,45,United States
1964,Finland,Uruguay,55,73,Uruguay
1964,Australia,SFR Yugoslavia,70,74,SFR Yugoslavia
1964,South Korea,Brazil,65,92,Brazil
1964,United States,Uruguay,83,28,United States
1964,Peru,SFR Yugoslavia,64,73,SFR Yugoslavia
1964,Finland,Brazil,54,61,Brazil
1964,Australia,South Korea,65,58,Australia
1964,Finland,Australia,61,59,Finland
1964,Peru,South Korea,84,57,Peru
1964,Uruguay,Brazil,68,80,Brazil
1964,United States,SFR Yugoslavia,69,61,United States
1964,SFR Yugoslavia,South Korea,99,66,SFR Yugoslavia
1964,Peru,Finland,59,63,Finland
1964,United States,Brazil,86,53,United States
1964,Uruguay,Australia,58,57,Uruguay
1964,United States,South Korea,116,50,United States
1964,SFR Yugoslavia,Finland,74,45,SFR Yugoslavia
1964,Brazil,Australia,69,57,Brazil
1964,Uruguay,Peru,69,59,Uruguay
1968,United States,Spain,81,46,United States
1968,Italy,Philippines,91,66,Italy
1968,Puerto Rico,Senegal,69,26,Puerto Rico
1968,SFR Yugoslavia,Panama,96,85,SFR Yugoslavia
1968,United States,Senegal,93,36,United States
1968,Spain,Philippines,108,79,Spain
1968,Puerto Rico,SFR Yugoslavia,72,93,SFR Yugoslavia
1968,Italy,Panama,94,87,Italy
1968,Senegal,SFR Yugoslavia,65,84,SFR Yugoslavia
1968,Spain,Panama,88,82,Spain
